Company Name,Website,City,Employees,Owner,List Source
Valleygate Logistics Ltd,http://valleygatelogistics.co.uk/,Birmingham,24,Sam Wheeler,Chamber list
Stonegate Packaging Ltd, stonegatepackaging.co.uk ,Dublin,127,Grace Osei,LinkedIn scrape
Atlasmere Removals Inc,https://atlasmereremovals.com/contact-us,Manchester,321,Nina Bell,LinkedIn scrape
Verityridge Fit Out Group,www.verityridgefitout.co.uk,Nottingham,304,Nina Bell,Trade show 2026
Quietfield Windows,http://quietfieldwindows.com/,Southampton,312,Priya Raman,Referral
Yarrowline Security LLP,yarrowlinesecurity.co.uk,Nottingham,213,Sam Wheeler,Inbound
Fenline Kitchens LLP,https://fenlinekitchens.com/contact-us,Nottingham,36,Nina Bell,Chamber list
Quiet Fox Studio,https://www.quietfoxstudio.co.uk,Glasgow,370,Ellie Marsh,LinkedIn scrape
Redlandbridge Flooring Ltd,https://www.REDLANDBRIDGEFLOORING.COM/services?utm_source=list,Birmingham,130,Owen Pryce,Trade show 2026
Quarrywood Scaffolding,https://www.quarrywoodscaffolding.co.uk,Boston,194,Dan Kovacs,LinkedIn scrape
Ravenspath Print Group,http://ravenspathprint.com/,Leeds,56,Ellie Marsh,Trade show 2026
Dunmorewood Recruitment Ltd,https://www.dunmorewoodrecruitment.co.uk,Denver,117,Tom Alderton,Inbound
Stonebridge Legal,https://www.stonebridgelegal.co.uk,Charlotte,315,Grace Osei,Chamber list
Elmholt Groundworks Group,https://www.elmholtgroundworks.co.uk,Glasgow,53,Priya Raman,Trade show 2026
Atlasmere Signage,https://www.ATLASMERESIGNAGE.CO.UK/services?utm_source=list,Birmingham,42,Ellie Marsh,Inbound
Jarrowfield Studio Ltd,http://jarrowfieldstudio.com/,Bristol,105,Ellie Marsh,Inbound
Marlowford Dental Ltd,https://www.marlowforddental.co.uk,Dublin,269,Priya Raman,LinkedIn scrape
Jarrowstead Landscaping & Co,https://www.JARROWSTEADLANDSCAPING.CO.UK/services?utm_source=list,Leeds,349,Dan Kovacs,Trade show 2026
Kingsfield Roofing,https://www.kingsfieldroofing.com,Denver,271,Ellie Marsh,Chamber list
Fenholt Windows LLP,https://www.fenholtwindows.com,Sheffield,311,Nina Bell,Chamber list
Oakleyfield Catering Inc, oakleyfieldcatering.co.uk ,Cardiff,83,Dan Kovacs,Referral
Halden & Moor Consulting,n/a,Manchester,211,Ellie Marsh,Chamber list
Hollowview Packaging & Co,https://www.hollowviewpackaging.co.uk,Birmingham,388,Dan Kovacs,Referral
Yarrowmere Security Ltd,yarrowmeresecurity.com,Sheffield,48,Nina Bell,Trade show 2026
Barrowbridge Logistics,http://barrowbridgelogistics.com/,Bristol,248,Dan Kovacs,LinkedIn scrape
Pallister Freight,,Toronto,60,Dan Kovacs,Trade show 2026
Newfordline Scaffolding Group,http://newfordlinescaffolding.co.uk/,Birmingham,367,Owen Pryce,Trade show 2026
Tarnbrook Groundworks,tarnbrookgroundworks.com,Portland,98,Owen Pryce,Trade show 2026
Atlaswick Packaging,atlaswickpackaging.com,Boston,137,Nina Bell,Trade show 2026
Orchard Insurance Brokers Limited,https://www.orchardinsurance.co.uk,Austin,381,Dan Kovacs,Trade show 2026
Barrowbridge Studio,barrowbridgestudio.com,Bristol,340,Grace Osei,Referral
Veritybridge Insurance Brokers,https://www.veritybridgeinsurance.co.uk,Glasgow,29,Ellie Marsh,Inbound
Fengate Security Ltd,http://fengatesecurity.co.uk/,Charlotte,76,Owen Pryce,LinkedIn scrape
Northmere Physiotherapy & Co,www.northmerephysio.co.uk,Charlotte,177,Grace Osei,Trade show 2026
Jarrowpath Studio Group,https://www.jarrowpathstudio.com,Cardiff,102,Dan Kovacs,Referral
Ash Dental LLP,ashdental.com,Nottingham,274,Dan Kovacs,Chamber list
Kings Plant Hire LLP,www.kingsplanthire.co.uk,Cardiff,145,Ellie Marsh,Trade show 2026
Meridian Fit Out Group,https://www.MERIDIANFITOUT.COM/services?utm_source=list,Boston,202,Dan Kovacs,Chamber list
Grangerline Groundworks Group,https://www.GRANGERLINEGROUNDWORKS.COM/services?utm_source=list,Charlotte,182,Grace Osei,Referral
Penninewood Landscaping Ltd,https://www.PENNINEWOODLANDSCAPING.CO.UK/services?utm_source=list,Bristol,368,Hana Sato,Inbound
Quietcrest Kitchens Group,quietcrestkitchens.co.uk,Vancouver,287,Nina Bell,LinkedIn scrape
Brightpath Dental,brightpath-dental.co.uk,Dublin,280,Priya Raman,Trade show 2026
Northwick Print,http://northwickprint.co.uk/,Vancouver,69,Sam Wheeler,Referral
Newfordcrest Flooring,newfordcrestflooring.co.uk,Austin,82,Nina Bell,Trade show 2026
Valleycrest Kitchens & Co,https://www.valleycrestkitchens.co.uk,Southampton,122,Hana Sato,LinkedIn scrape
Shelbyview Security Limited,https://www.shelbyviewsecurity.com,Belfast,9,Priya Raman,Trade show 2026
Orchard Packaging Ltd,https://www.orchardpackaging.co.uk,Manchester,223,Marcus Bright,Chamber list
Fenwick Interiors,http://fenwickinteriors.co.uk/,Glasgow,292,Ellie Marsh,LinkedIn scrape
Marlowmere Kitchens Inc,https://www.MARLOWMEREKITCHENS.CO.UK/services?utm_source=list,Vancouver,161,Hana Sato,Trade show 2026
Elmfield Kitchens Group,https://www.elmfieldkitchens.com,Austin,289,Marcus Bright,Chamber list
Penninebridge Physiotherapy LLP,https://www.PENNINEBRIDGEPHYSIO.CO.UK/services?utm_source=list,Vancouver,134,Sam Wheeler,Trade show 2026
Yarrow Removals Limited,http://yarrowremovals.co.uk/,Austin,253,Sam Wheeler,Inbound
Crestcrest Physiotherapy Group, crestcrestphysio.co.uk ,Austin,29,Dan Kovacs,Inbound
Pennineridge Landscaping Ltd,https://www.pennineridgelandscaping.co.uk,Portland,311,Nina Bell,Trade show 2026
Everlyline Interiors Inc,www.everlylineinteriors.co.uk,Belfast,96,Tom Alderton,LinkedIn scrape
Valley Landscaping LLP,valleylandscaping.com,Bristol,191,Hana Sato,LinkedIn scrape
Uptonholt Removals,https://www.uptonholtremovals.com,Southampton,58,Owen Pryce,Chamber list
Everlycrest Electrical Ltd,everlycrestelectrical.co.uk,Denver,396,Priya Raman,LinkedIn scrape
Cloverview Landscaping Inc,www.cloverviewlandscaping.com,Portland,391,Sam Wheeler,Trade show 2026
Kelseymere Catering Limited,http://kelseymerecatering.com/,Birmingham,348,Owen Pryce,LinkedIn scrape
Stonemere Landscaping Inc,https://www.stonemerelandscaping.co.uk,Southampton,78,Nina Bell,Chamber list
Jarrowmere Flooring Ltd,jarrowmereflooring.co.uk,Sheffield,380,Tom Alderton,Referral
Harbourcrest Dental LLP,harbourcrestdental.com,Birmingham,126,Ellie Marsh,LinkedIn scrape
Fen Garden Centre Group,https://www.fengarden.com,Belfast,294,Tom Alderton,LinkedIn scrape
Dunmorewood Dental Ltd,dunmorewooddental.com,Bristol,211,Sam Wheeler,Chamber list
Tarnbrookwick Security Limited,https://tarnbrookwicksecurity.co.uk/contact-us,Dublin,229,Marcus Bright,Chamber list
Shelbycrest Accountants Inc,http://shelbycrestaccountants.com/,Belfast,61,Ellie Marsh,Inbound
Kelseyridge Security LLP,kelseyridgesecurity.com,Boston,137,Priya Raman,Referral
Elmbridge Print Ltd,elmbridgeprint.com,Southampton,402,Marcus Bright,Referral
Verityford Veterinary Inc,www.verityfordvets.co.uk,Boston,388,Sam Wheeler,Inbound
Lockwood Fabrication,https://www.lockwoodfabrication.co.uk,Boston,183,Priya Raman,Inbound
Uptonbridge Cleaning Services Ltd,https://uptonbridgecleaningservices.com/contact-us,Manchester,242,Priya Raman,Inbound
Stonecrest Flooring & Co,https://www.stonecrestflooring.co.uk,Charlotte,349,Sam Wheeler,LinkedIn scrape
Tarnbrook Kitchens Inc,https://www.tarnbrookkitchens.co.uk,Portland,361,Priya Raman,Chamber list
Elmholt Flooring & Co,http://elmholtflooring.co.uk/,Southampton,378,Marcus Bright,Trade show 2026
Crestfield Recruitment Limited,http://crestfieldrecruitment.co.uk/,Phoenix,397,Grace Osei,Trade show 2026
Dunmorepath Electrical & Co,dunmorepathelectrical.co.uk,Belfast,275,Hana Sato,Inbound
Yarrowview Roofing Group,https://www.YARROWVIEWROOFING.COM/services?utm_source=list,Glasgow,159,Grace Osei,Referral
Yarrow Accountants,https://www.yarrowaccountants.co.uk,Glasgow,22,Ellie Marsh,Inbound
Northmere Physiotherapy & Co,www.northmerephysio.co.uk,Glasgow,77,Nina Bell,Chamber list
Fairholmline Insurance Brokers & Co,https://www.fairholmlineinsurance.com,Denver,174,Nina Bell,LinkedIn scrape
Ashholt Cleaning Services & Co,https://www.ashholtcleaningservices.com,Southampton,202,Dan Kovacs,Referral
Ravensfield HVAC,https://www.RAVENSFIELDHVAC.CO.UK/services?utm_source=list,Bristol,167,Tom Alderton,Inbound
Marlowmere Catering Limited,marlowmerecatering.com,Austin,98,Grace Osei,Referral
Northwick Legal Limited,northwicklegal.com,Sheffield,103,Marcus Bright,Trade show 2026
Marlow Catering LLP,marlowcatering.com,Nottingham,26,Ellie Marsh,Chamber list
Marlowholt Insurance Brokers,https://www.MARLOWHOLTINSURANCE.COM/services?utm_source=list,Manchester,134,Marcus Bright,Referral
Tarnbrookmere Catering Ltd,https://www.tarnbrookmerecatering.co.uk,Denver,133,Sam Wheeler,Inbound
Sable Court Hotels,www.sablecourthotels.com,Portland,300,Dan Kovacs,Trade show 2026
Ludlowline Roofing Inc,ludlowlineroofing.co.uk,Birmingham,198,Tom Alderton,LinkedIn scrape
Stoneford Scaffolding,stonefordscaffolding.com,Denver,348,Owen Pryce,Trade show 2026
Woldridge Accountants LLP,https://www.woldridgeaccountants.co.uk,Nottingham,318,Dan Kovacs,Trade show 2026
Dunmorebridge HVAC Group,https://www.dunmorebridgehvac.com,Sheffield,80,Tom Alderton,Trade show 2026
Harbourcrest Flooring Inc,https://www.harbourcrestflooring.com,Dublin,125,Ellie Marsh,Trade show 2026
Valleycrest Kitchens & Co,https://www.VALLEYCRESTKITCHENS.CO.UK/services?utm_source=list,Nottingham,279,Tom Alderton,LinkedIn scrape
Pinnacle Scaffolding Ltd,www.pinnacle-scaffolding.co.uk,Glasgow,289,Grace Osei,Inbound
Yarrow Logistics & Co,http://yarrowlogistics.com/,Nottingham,287,Hana Sato,Chamber list
Stonemere Landscaping Inc,https://www.stonemerelandscaping.co.uk,Birmingham,135,Nina Bell,Chamber list
Everlyline Flooring & Co,http://everlylineflooring.co.uk/,Dublin,67,Owen Pryce,Chamber list
Penninefield Recruitment LLP,https://www.penninefieldrecruitment.com,Toronto,177,Tom Alderton,LinkedIn scrape
Tarnbrook Groundworks,https://www.tarnbrookgroundworks.com,Boston,350,Grace Osei,Trade show 2026
Westmoorridge Roofing Ltd,westmoorridgeroofing.co.uk,Vancouver,55,Dan Kovacs,Trade show 2026
Verity Flooring Ltd,https://verityflooring.com/contact-us,Bristol,167,Ellie Marsh,LinkedIn scrape
Elmmere Home Care Group,http://elmmerehomecare.com/,Belfast,119,Tom Alderton,Trade show 2026
Northpath Print & Co,northpathprint.co.uk,Denver,267,Owen Pryce,Trade show 2026
Atlaswood Groundworks Group,https://www.atlaswoodgroundworks.co.uk,Cardiff,334,Owen Pryce,Inbound
Kelseyridge Kitchens Ltd,https://kelseyridgekitchens.co.uk/contact-us,Belfast,23,Tom Alderton,Chamber list
Merrowwood Packaging & Co,www.merrowwoodpackaging.com,Manchester,347,Marcus Bright,Chamber list
Northwood Roofing Ltd,https://northwoodroofing.co.uk/contact-us,Cardiff,302,Tom Alderton,Inbound
Brightridge Veterinary LLP,brightridgevets.com,Austin,384,Tom Alderton,Inbound
Northford Print Ltd,northfordprint.co.uk,Sheffield,286,Priya Raman,Referral
Crest Insurance Brokers Limited,https://crestinsurance.co.uk/contact-us,Newcastle,394,Nina Bell,Referral
Kingswood Recruitment,kingswoodrecruitment.co.uk,Manchester,283,Priya Raman,Trade show 2026
Merrowview Removals LLP,www.merrowviewremovals.co.uk,Toronto,361,Marcus Bright,Inbound
Jarrowridge Print Ltd,jarrowridgeprint.com,Nottingham,193,Sam Wheeler,Inbound
Orchardholt Flooring Ltd,https://www.ORCHARDHOLTFLOORING.COM/services?utm_source=list,Southampton,321,Sam Wheeler,Chamber list
Redlandfield HVAC Ltd,redlandfieldhvac.com,Manchester,109,Priya Raman,Referral
Kingsridge Print Ltd,kingsridgeprint.com,Denver,344,Nina Bell,Trade show 2026
Quarryfield Electrical Ltd,https://www.quarryfieldelectrical.com,Belfast,33,Grace Osei,Chamber list
Grangerview Physiotherapy,https://www.grangerviewphysio.co.uk,Nottingham,201,Ellie Marsh,Trade show 2026
Pinnacleridge Scaffolding LLP,https://www.pinnacleridgescaffolding.co.uk,Belfast,238,Priya Raman,Referral
Redlandmere Fit Out Ltd,https://www.redlandmerefitout.co.uk,Portland,393,Nina Bell,Inbound
Cloverford Studio Inc,cloverfordstudio.co.uk,Toronto,125,Ellie Marsh,Inbound
Fairholmpath Logistics Ltd,https://www.FAIRHOLMPATHLOGISTICS.COM/services?utm_source=list,Belfast,67,Nina Bell,Chamber list
Ashholt Recruitment,ashholtrecruitment.com,Dublin,326,Dan Kovacs,Chamber list
Atlas Physiotherapy Limited,http://atlasphysio.co.uk/,Charlotte,294,Dan Kovacs,Referral
Elmstead Veterinary,http://elmsteadvets.co.uk/,Denver,204,Hana Sato,Trade show 2026
